GOOGL,Alphabet Inc,NASDAQ
VRSN,VeriSign Inc,NASDAQ
AAPL,Apple Inc,NASDAQ
CELG,Celgene Corporation,NASDAQ
MYL,Mylan N.V,NASDAQ
MELI,MercadoLibre Inc,NASDAQ
INTU,Intuit Inc,NASDAQ
DLTR,Dollar Tree,NASDAQ
ATVI,Activision Blizzard,NASDAQ
MDLZ,Mondelez International,NASDAQ
TSLA,Tesla Inc,NASDAQ
UAL,United Continental,NASDAQ
AAL,American Airlines,NASDAQ
CTXS,Citrix Systems,NASDAQ
AMGN,Amgen Inc,NASDAQ
WLTW,Willis Towers,NASDAQ
SIRI,Sirius XM,NASDAQ
VRSK,Verisk Analytics,NASDAQ
CERN,Cerner Corporation,NASDAQ
SBUX,Starbucks Corporation,NASDAQ
MAR,Marriott International,NASDAQ
BIDU,Baidu Inc,NASDAQ
PCAR,PACCAR Inc,NASDAQ
AMAT,Applied Materials,NASDAQ
JD,JD.com Inc,NASDAQ
HSIC,Henry Schein,NASDAQ
MCHP,Microchip Technology,NASDAQ
WYNN,Wynn Resorts,NASDAQ
WDC,Western Digital,NASDAQ
MXIM,Maxim Integrated,NASDAQ
ILMN,Illumina Inc,NASDAQ